./nestedMerge/EQ_pos3EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_pos3EQ_is_prime2/libA: equiv,1.0173   ; unknown,0.0000   ; equiv,0.7499  
./nestedMerge/EQ_pos3EQ_odd/libA: equiv,11.2590  ; unknown,0.0000   ; equiv,27.5841 
./nestedMerge/EQ_pos3EQ_pos/libA: equiv,0.8353   ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_pos3EQ_pos2/libA: equiv,11.3319  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_pos3EXTRA_ultra_prime_sum/libA: equiv,42.4293  ; unknown,0.0000   ; equiv,0.1431  
./nestedMerge/EQ_posEQ_Add/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_posEQ_Const/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_posEQ_LoopMult20/libA: equiv,0.9704   ; unknown,0.0000   ; equiv,0.1319  
./nestedMerge/EQ_posEQ_LoopUnreach20/libA: equiv,0.9733   ; unknown,0.0000   ; equiv,0.1304  
./nestedMerge/EQ_posEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_posEQ_divide/libA: equiv,0.2088   ; unknown,0.0000   ; equiv,0.1302  
./nestedMerge/EQ_posEQ_getSign2/libA: equiv,0.8438   ; unknown,0.0000   ; equiv,0.1180  
./nestedMerge/EQ_posEQ_is_prime1/libA: equiv,1.0349   ; unknown,0.0000   ; equiv,0.1132  
./nestedMerge/EQ_posEQ_is_prime2/libA: equiv,1.1525   ; unknown,0.0000   ; equiv,1.2947  
./nestedMerge/EQ_posEQ_is_prime3/libA: equiv,3.4832   ; unknown,0.0000   ; equiv,1.3826  
./nestedMerge/EQ_posEQ_ltfive/libA: not equiv,0.6600   ; unknown,0.0000   ; not equiv,0.2250  
./nestedMerge/EQ_posEQ_ltfiveBound/libA: equiv,1.3913   ; unknown,0.0000   ; equiv,0.2411  
./nestedMerge/EQ_posEQ_multiple/libA: not equiv,0.4736   ; unknown,0.0000   ; not equiv,0.3921  
./nestedMerge/EQ_posEQ_multipleBound/libA: equiv,1.2937   ; unknown,0.0000   ; equiv,0.4485  
./nestedMerge/EQ_posEQ_odd/libA: equiv,11.3762  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_posEQ_one/libA: not equiv,0.4374   ; unknown,0.0000   ; not equiv,0.1793  
./nestedMerge/EQ_posEQ_oneBound/libA: equiv,1.2345   ; unknown,0.0000   ; equiv,0.2315  
./nestedMerge/EQ_posEQ_oneN2/libA: equiv,1.1266   ; unknown,0.0000   ; not equiv,0.1964  
./nestedMerge/EQ_posEQ_pos/libA: equiv,0.9299   ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_posEQ_pos2/libA: equiv,11.4023  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_posEQ_pos3/libA: equiv,1.0059   ; unknown,0.0000   ; equiv,0.1295  
./nestedMerge/EQ_posEXTRA_ultra_prime_sum/libA: equiv,114.8765 ; unknown,0.0000   ; equiv,0.1991  
./nestedMerge/EQ_posNEQ_LoopMult20/libA: equiv,0.9861   ; unknown,0.0000   ; equiv,0.1301  
./nestedMerge/EQ_posNEQ_LoopUnreach20/libA: equiv,0.8874   ; unknown,0.0000   ; equiv,0.1302  
./nestedMerge/EQ_posNEQ_getSign/libA: not equiv,0.3754   ; unknown,0.0000   ; not equiv,0.1678  
./nestedMerge/EXTRA_ultra_prime_sumEQ_Add/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EXTRA_ultra_prime_sumEQ_Const/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EXTRA_ultra_prime_sumEQ_LoopMult20/libA: equiv,3.3270   ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EXTRA_ultra_prime_sumEQ_LoopUnreach20/libA: equiv,2.1047   ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EXTRA_ultra_prime_sumEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EXTRA_ultra_prime_sumEQ_divide/libA: equiv,0.4521   ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EXTRA_ultra_prime_sumEQ_getSign2/libA: equiv,1.9092   ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EXTRA_ultra_prime_sumEQ_is_prime1/libA: equiv,2.0577   ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EXTRA_ultra_prime_sumEQ_is_prime2/libA: equiv,3.3360   ; unknown,0.0000   ; not equiv,0.6476  
