./nestedMerge/EQ_oneEQ_odd/libA: equiv,13.9071  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_oneEQ_pos/libA: equiv,14.7717  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_oneEQ_pos2/libA: equiv,0.4562   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0700  
./nestedMerge/EQ_oneEXTRA_ultra_prime_sum/libA: equiv,154.1397 ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.7000  
./nestedMerge/EQ_oneN2EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_oneN2EQ_is_prime2/libA: equiv,8.2306   ; unknown,0.0000   ; equiv,1.5743   ; unknown,0.0300  
./nestedMerge/EQ_oneN2EQ_odd/libA: equiv,13.8583  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_oneN2EQ_pos/libA: equiv,14.8792  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_oneN2EQ_pos2/libA: equiv,0.4680   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0700  
./nestedMerge/EQ_oneN2EXTRA_ultra_prime_sum/libA: equiv,142.1333 ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.7000  
./nestedMerge/EQ_pos2EQ_Add/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_pos2EQ_Const/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_pos2EQ_LoopMult20/libA: equiv,0.5394   ; unknown,0.0000   ; equiv,0.1582   ; equiv,0.0400  
./nestedMerge/EQ_pos2EQ_LoopUnreach20/libA: equiv,0.5287   ; unknown,0.0000   ; equiv,0.1563   ; equiv,0.0200  
./nestedMerge/EQ_pos2EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_pos2EQ_divide/libA: equiv,0.3610   ; unknown,0.0000   ; equiv,0.1776   ; equiv,0.0300  
./nestedMerge/EQ_pos2EQ_getSign2/libA: equiv,0.4687   ; unknown,0.0000   ; equiv,0.1409   ; equiv,0.0300  
./nestedMerge/EQ_pos2EQ_is_prime1/libA: equiv,0.4804   ; unknown,0.0000   ; equiv,0.1357   ; unknown,0.0200  
./nestedMerge/EQ_pos2EQ_is_prime2/libA: equiv,0.7136   ; unknown,0.0000   ; equiv,0.1583   ; unknown,0.0200  
./nestedMerge/EQ_pos2EQ_is_prime3/libA: equiv,3.2658   ; unknown,0.0000   ; equiv,1.4840   ; unknown,0.0200  
./nestedMerge/EQ_pos2EQ_ltfive/libA: not equiv,1.1062   ; unknown,0.0000   ; not equiv,0.2544   ; equiv,0.0400  
./nestedMerge/EQ_pos2EQ_ltfiveBound/libA: equiv,0.8920   ; unknown,0.0000   ; equiv,0.2649   ; equiv,0.0700  
./nestedMerge/EQ_pos2EQ_multiple/libA: not equiv,1.1864   ; unknown,0.0000   ; not equiv,0.3597   ; equiv,0.0300  
./nestedMerge/EQ_pos2EQ_multipleBound/libA: equiv,0.8383   ; unknown,0.0000   ; equiv,0.4750   ; equiv,0.0400  
./nestedMerge/EQ_pos2EQ_odd/libA: equiv,29.7300  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_pos2EQ_one/libA: not equiv,0.9676   ; unknown,0.0000   ; not equiv,0.2067   ; not equiv,0.0300  
./nestedMerge/EQ_pos2EQ_oneBound/libA: equiv,0.7484   ; unknown,0.0000   ; equiv,0.2538   ; equiv,0.0500  
./nestedMerge/EQ_pos2EQ_oneN2/libA: not equiv,0.9829   ; unknown,0.0000   ; not equiv,0.2202   ; equiv,0.0300  
./nestedMerge/EQ_pos2EQ_pos/libA: equiv,23.3486  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_pos2EQ_pos2/libA: equiv,0.4708   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0500  
./nestedMerge/EQ_pos2EQ_pos3/libA: equiv,0.3533   ; unknown,0.0000   ; equiv,0.1672   ; equiv,0.0300  
./nestedMerge/EQ_pos2EXTRA_ultra_prime_sum/libA: equiv,147.6859 ; unknown,0.0000   ; equiv,0.1880   ; unknown,0.2100  
./nestedMerge/EQ_pos2NEQ_LoopMult20/libA: equiv,0.5178   ; unknown,0.0000   ; equiv,0.1567   ; equiv,0.0400  
./nestedMerge/EQ_pos2NEQ_LoopUnreach20/libA: equiv,0.5250   ; unknown,0.0000   ; equiv,0.1555   ; equiv,0.0300  
./nestedMerge/EQ_pos2NEQ_getSign/libA: not equiv,0.7512   ; unknown,0.0000   ; not equiv,0.1881   ; not equiv,0.0300  
./nestedMerge/EQ_pos3EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0200  
./nestedMerge/EQ_pos3EQ_is_prime2/libA: equiv,0.5222   ; unknown,0.0000   ; equiv,0.1445   ; unknown,0.0200  
./nestedMerge/EQ_pos3EQ_odd/libA: equiv,11.5577  ; unknown,0.0000   ; equiv,24.8297  ; unknown,0.0100  
