./nestedMerge/EQ_pos2EQ_multiple/libA: not equiv,1.1743   ; unknown,0.0000   ; not equiv,0.3569   ; equiv,0.0300  
./nestedMerge/EQ_pos2EQ_multipleBound/libA: equiv,0.8344   ; unknown,0.0000   ; equiv,0.4691   ; equiv,0.0400  
./nestedMerge/EQ_pos2EQ_odd/libA: equiv,24.8002  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_pos2EQ_one/libA: not equiv,0.9710   ; unknown,0.0000   ; not equiv,0.2022   ; not equiv,0.0400  
./nestedMerge/EQ_pos2EQ_oneBound/libA: equiv,0.7863   ; unknown,0.0000   ; equiv,0.2610   ; equiv,0.0500  
./nestedMerge/EQ_pos2EQ_oneN2/libA: not equiv,0.9814   ; unknown,0.0000   ; not equiv,0.2262   ; equiv,0.0300  
./nestedMerge/EQ_pos2EQ_pos/libA: equiv,23.3811  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_pos2EQ_pos2/libA: equiv,0.4761   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./nestedMerge/EQ_pos2EQ_pos3/libA: equiv,0.3522   ; unknown,0.0000   ; equiv,0.1704   ; equiv,0.0300  
./nestedMerge/EQ_pos2EXTRA_ultra_prime_sum/libA: equiv,147.5693 ; unknown,0.0000   ; equiv,0.1880   ; unknown,0.2100  
./nestedMerge/EQ_pos2NEQ_LoopMult20/libA: equiv,0.5260   ; unknown,0.0000   ; equiv,0.1531   ; equiv,0.0400  
./nestedMerge/EQ_pos2NEQ_LoopUnreach20/libA: equiv,0.5237   ; unknown,0.0000   ; equiv,0.1533   ; equiv,0.0400  
./nestedMerge/EQ_pos2NEQ_getSign/libA: not equiv,0.7630   ; unknown,0.0000   ; not equiv,0.1960   ; not equiv,0.0300  
./nestedMerge/EQ_pos3EQ_UnchLoop/libA: equiv,40.2791  ; unknown,0.0000   ; equiv,0.1335   ; equiv,0.1500  
./nestedMerge/EQ_pos3EQ_is_prime2/libA: equiv,0.4650   ; unknown,0.0000   ; equiv,0.1326   ; unknown,0.0200  
./nestedMerge/EQ_pos3EQ_odd/libA: equiv,11.3964  ; unknown,0.0000   ; equiv,25.9587  ; unknown,0.0100  
