./mergedHard/EQ_pos2EQ_is_prime1/libA: equiv,0.2421   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./mergedHard/EQ_pos2EQ_is_prime2/libA: equiv,0.2903   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./mergedHard/EQ_pos2EQ_is_prime3/libA: equiv,33.3420  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./mergedHard/EQ_pos2EQ_ltfive/libA: equiv,0.3239   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0600  
./mergedHard/EQ_pos2EQ_ltfiveBound/libA: equiv,0.3554   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0800  
./mergedHard/EQ_pos2EQ_multiple/libA: equiv,0.2770   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0500  
./mergedHard/EQ_pos2EQ_multipleBound/libA: equiv,0.3023   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0500  
./mergedHard/EQ_pos2EQ_odd/libA: equiv,0.2670   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./mergedHard/EQ_pos2EQ_one/libA: equiv,0.2904   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0500  
./mergedHard/EQ_pos2EQ_oneBound/libA: equiv,0.3158   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0700  
./mergedHard/EQ_pos2EQ_oneN2/libA: equiv,0.2872   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0600  
./mergedHard/EQ_pos2EQ_pos/libA: equiv,0.2942   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0600  
./mergedHard/EQ_pos2EQ_pos2/libA: equiv,0.2935   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0600  
./mergedHard/EQ_pos2EQ_pos3/libA: equiv,0.2626   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./mergedHard/EQ_pos2EXTRA_ultra_prime_sum/libA: equiv,44.2743  ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0500  
./mergedHard/EQ_pos2NEQ_LoopMult20/libA: equiv,0.2659   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./mergedHard/EQ_pos2NEQ_LoopUnreach20/libA: equiv,0.2639   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./mergedHard/EQ_pos2NEQ_getSign/libA: equiv,0.2383   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./mergedHard/EQ_pos3EQ_UnchLoop/libA: equiv,0.2027   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./mergedHard/EQ_pos3EQ_is_prime2/libA: equiv,0.2505   ; unknown,0.0000   ; not equiv,0.2227   ; unknown,0.0100  
./mergedHard/EQ_pos3EQ_odd/libA: equiv,0.2246   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./mergedHard/EQ_pos3EQ_pos/libA: equiv,0.2525   ; unknown,0.0000   ; equiv,0.1792   ; unknown,0.0100  
