./mergedHard/EQ_pos2EQ_multiple/libA: equiv,0.2807   ; equiv,0.4266   ; equiv,0.1533   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_multipleBound/libA: equiv,0.3036   ; equiv,0.4524   ; equiv,0.1435   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_odd/libA: equiv,0.2670   ; equiv,0.4200   ; equiv,0.1588   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_one/libA: equiv,0.2895   ; equiv,0.4417   ; equiv,0.1484   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_oneBound/libA: equiv,0.3158   ; equiv,0.4938   ; equiv,0.1591   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_oneN2/libA: equiv,0.2880   ; equiv,0.4362   ; equiv,0.1488   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_pos/libA: equiv,0.2968   ; equiv,0.4552   ; equiv,0.1542   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_pos2/libA: equiv,0.2954   ; equiv,0.4547   ; equiv,0.1537   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_pos3/libA: equiv,0.2622   ; equiv,0.4096   ; equiv,0.1531   ; unknown,0.0000  
./mergedHard/EQ_pos2EXTRA_ultra_prime_sum/libA: equiv,22.7184  ; equiv,12.2711  ; equiv,23.2652  ; unknown,0.0000  
./mergedHard/EQ_pos2NEQ_LoopMult20/libA: equiv,0.2631   ; equiv,0.4160   ; equiv,0.1486   ; unknown,0.0000  
./mergedHard/EQ_pos2NEQ_LoopUnreach20/libA: equiv,0.2654   ; equiv,0.3977   ; equiv,0.1538   ; unknown,0.0000  
./mergedHard/EQ_pos2NEQ_getSign/libA: equiv,0.2417   ; equiv,0.3894   ; equiv,0.1486   ; unknown,0.0000  
./mergedHard/EQ_pos3EQ_LoopMult20/libA: equiv,0.2254   ; equiv,0.3630   ; equiv,0.1340   ; unknown,0.0000  
./mergedHard/EQ_pos3EQ_UnchLoop/libA: equiv,0.2040   ; equiv,0.3521   ; equiv,0.1543   ; unknown,0.0000  
./mergedHard/EQ_pos3EQ_odd/libA: equiv,0.2263   ; equiv,0.3675   ; equiv,0.1449   ; unknown,0.0000  
